Package, GitHub Stars, Released
python-sat, 185, "Feb 13, 2021"
pycosat, 149, "Nov 9, 2017"
pylgl, 0, "Feb 1, 2017"
pyPicosat, 1, "Aug 1, 2017"
pyglucose, 1, "Apr 14, 2019"
pycryptosat, 499, "Dec 1, 2019"
satyrn, 1, "Jul 20, 2019"
satispy, 48, "Apr 25, 2015"
umo, 0, "Jun 17, 2020"
pydepqbf, 0, "Jul 2, 2018"
wheel, 229, "Dec 13, 2020"
pip, 6956, "Jan 30, 2021"
setuptools, 1310, "Mar 7, 2021"
antlr4-python3-runtime, 0, "Jan 5, 2021"
SimpleParse, 0, "Mar 7, 2020"
lark-parser, 2277, "Feb 16, 2021"
ebnf, 0, "Dec 13, 2020"
six, 746, "May 21, 2020"
pybind11, 8739, "Jan 27, 2021"
