Method, Iterations, Decisions, Simulations, Evaluations, "Positive Evaluations", "Tree Size", "Time (s)"
"UCT Algorithm", 1, 20, 1, 19, 11, 39, 0.10375428199768066
"UCT Algorithm", 100, 15, 100, 157, 114, 944, 2.7143301963806152
"UCT Algorithm", 200, 19, 200, 201, 122, 2719, 8.665597200393677
"UCT Algorithm", 300, 15, 300, 265, 182, 2107, 9.772271871566772
"UCT Algorithm", 400, 27, 400, 586, 536, 7791, 51.49438834190369
"UCT Algorithm", 500, 27, 500, 630, 535, 9542, 75.2123293876648
"UCT Algorithm", 600, 19, 600, 333, 219, 7036, 47.244112730026245
"UCT Algorithm", 700, 20, 700, 284, 194, 8005, 73.84079694747925
"UCT Algorithm", 800, 27, 800, 681, 617, 14729, 202.71076679229736
"UCT Algorithm", 900, 19, 900, 331, 176, 7242, 100.42114639282227
"UCT Algorithm", 1000, 19, 1000, 221, 134, 7169, 117.18294548988342
