Method, Iterations, Decisions, Simulations, Evaluations, PositiveEvaluations, Percentage, TreeSize, Time
"Random Sampling", 1, 1, 1, 1, 1, 1.0, 0, 0.0
"Random Sampling", 100, 1, 100, 100, 25, 0.25, 0, 0.0009989738464355469
"Random Sampling", 200, 1, 200, 200, 85, 0.425, 0, 0.0010023117065429688
"Random Sampling", 300, 1, 300, 300, 96, 0.32, 0, 0.0
"Random Sampling", 400, 1, 400, 400, 132, 0.33, 0, 0.0
"Random Sampling", 500, 1, 500, 500, 178, 0.356, 0, 0.000997781753540039
"Random Sampling", 600, 1, 600, 600, 223, 0.37166666666666665, 0, 0.0
"Random Sampling", 700, 1, 700, 700, 246, 0.3514285714285714, 0, 0.000997781753540039
"Random Sampling", 800, 1, 800, 800, 297, 0.37125, 0, 0.000997304916381836
"Random Sampling", 900, 1, 900, 900, 328, 0.36444444444444446, 0, 0.000997304916381836
"Random Sampling", 1000, 1, 1000, 1000, 375, 0.375, 0, 0.0
