Step, Decisions, Simulations, Evaluations, Tree Size, Positive Evaluations, Time (s), Choice
0, 1, 100, 70, 101, 37, 0.5525503158569336, JHipster
1, 11, 100, 59, 202, 27, 0.5116968154907227, InternationalizationSupport
2, 10, 100, 27, 303, 17, 0.37400245666503906, Database
3, 12, 100, 24, 404, 17, 0.2921903133392334, Cassandra
4, 8, 100, 8, 505, 6, 0.26842832565307617, Docker
5, 7, 100, 4, 606, 4, 0.26429176330566406, Generator
6, 8, 100, 4, 707, 4, 0.2293863296508789, Server
7, 5, 100, 0, 808, 0, 0.11968231201171875, Authentication
8, 6, 100, 0, 890, 0, 0.09377813339233398, BackEnd
9, 7, 100, 0, 890, 0, 0.07878708839416504, Gradle
10, 5, 100, 0, 890, 0, 0.06181001663208008, TestingFrameworks
11, 6, 100, 0, 890, 0, 0.04989051818847656, Gatling
12, 5, 100, 0, 890, 0, 0.03690981864929199, Cucumber
13, 4, 100, 0, 890, 0, 0.025932788848876953, MicroserviceApplication
14, 2, 100, 0, 890, 0, 0.012963056564331055, Uaa
