"Method", "Iterations", "PositiveEvaluations"
"Random Sampling", 1, 0
"Random Sampling", 250, 186
"Random Sampling", 500, 376
"Random Sampling", 750, 578
"Random Sampling", 1000, 769
"Random Sampling", 1250, 950
"Random Sampling", 1500, 1144
"Random Sampling", 1750, 1342
"Random Sampling", 2000, 1534
"Random Sampling", 2250, 1732
"Random Sampling", 2500, 1908
"Random Sampling", 2750, 2106
"Random Sampling", 3000, 2319
"Random Sampling", 3250, 2515
"Random Sampling", 3500, 2699
"Random Sampling", 3750, 2874
"Random Sampling", 4000, 3104
"Random Sampling", 4250, 3258
"Random Sampling", 4500, 3440
"Random Sampling", 4750, 3650
"Random Sampling", 5000, 3838
